study,es,hat,rstudent,cook_d,comparison
57,0.2865841518304038,0.003459407199997628,0.7232135893949896,0.0018207131669111518,Strong Synergy
57,0.770389947305068,0.003437610554138156,1.148467136172671,0.004579558403373854,Strong Synergy
57,0.3098479815997061,0.003458812131717792,0.7437727541794267,0.0019258467871260817,Strong Synergy
58,-0.0869530795435516,0.0030799510349625693,0.36994922579362605,0.00042236355632896926,Strong Synergy
58,0.1543803521552476,0.0030787065910277247,0.5716992360168355,0.001010857204402938,Strong Synergy
58,-0.6647122801395982,0.003047080311712068,-0.11271636792178878,3.973328500884868e-05,Strong Synergy
58,0.5192944336328748,0.003252768821475387,0.9013205587270701,0.0026617602628585175,Strong Synergy
58,0.1402685276047347,0.003267978570498178,0.5768515971863282,0.0010924457508444756,Strong Synergy
58,0.2752507159834164,0.0032645537711798443,0.692790743318682,0.001575899526420812,Strong Synergy
60,-1.7099958672101667,0.003280246719782211,-1.0192686470449381,0.0034341587200107937,Strong Synergy
60,0.2111029551801957,0.0034122985858159537,0.6518163794945029,0.001457545490750131,Strong Synergy
60,-2.1889747349994373,0.0031999339628517773,-1.4150890402362308,0.006443358381498641,Strong Synergy
60,-1.9545272041377584,0.0032412132824625193,-1.2230129630688484,0.004879535418781389,Strong Synergy
60,-0.1097706386099212,0.0034138504158698364,0.3693926466868901,0.0004657397790585929,Strong Synergy
61,0.1710508585262408,0.003546080455730109,0.6285232245436471,0.0014073287000763645,Strong Synergy
61,0.5600471128001023,0.003536351859106637,0.9763155055315845,0.0034028629670682527,Strong Synergy
61,-1.6188223114513904,0.0034593658040990944,-0.9659036244257503,0.003256670164127772,Strong Synergy
61,0.737562275033388,0.0035285112184796218,1.1341618950589742,0.004588655456310454,Strong Synergy
61,-1.969345995010196,0.0034187884215871067,-1.2691279782275056,0.005542787355071112,Strong Synergy
62,0.2816564115145448,0.0038224224516093023,0.7556207502274848,0.0021961975406485,Strong Synergy
62,-0.2849840945944432,0.0038224172836181574,0.2276013467805432,0.0001527992744634159,Strong Synergy
62,0.112810558616291,0.0038225322244820623,0.5982917352221925,0.001327997002755298,Strong Synergy
62,-0.7851198829210654,0.003820872798812806,-0.2383975407977778,0.0002847143431841718,Strong Synergy
63,0.0184650914470461,0.00374334146395784,0.5050610834291271,0.0009478565899994297,Strong Synergy
63,-0.1469825691472993,0.003367340356769784,0.3343216611607135,0.00037609179743107403,Strong Synergy
64,1.2646082068062234,0.0030454978401935006,1.492058976216815,0.006839742897979386,Strong Synergy
64,-2.413506684273905,0.002790172728592055,-1.5001416833238308,0.006308716740807519,Strong Synergy
64,1.107168541450387,0.003070325044393798,1.3666424544401101,0.005783515709691325,Strong Synergy
65,-3.061504238595657,0.002700216924194678,-1.9832721468055468,0.01065669943197531,Strong Synergy
65,-1.3740579015072825,0.0030974637653783357,-0.7086675028543015,0.0015693445539672441,Strong Synergy
68,0.3181274049508187,0.003761195219203938,0.7832564938256696,0.0023262518419743415,Strong Synergy
77,0.9218577295469071,0.0034868290264031764,1.2914653277460466,0.0058833857459847415,Strong Synergy
78,0.4551491924878931,0.003374869881730511,0.8619164131702848,0.002525864367954691,Strong Synergy
78,-0.8623879436612711,0.0033481216761867155,-0.29054901970039887,0.00028795921752348345,Strong Synergy
78,0.9523803402517258,0.0033400640438115124,1.2905806006679093,0.005618771921492174,Strong Synergy
79,0.1959585835090979,0.003727396428353849,0.6673112777577614,0.0016652209643553695,Strong Synergy
79,0.0689014344619237,0.0036501409082686283,0.5446613561326858,0.0010838285338102777,Strong Synergy
80,-0.6185851177800868,0.0036968875007955607,-0.08188319713993317,2.8394742113082794e-05,Strong Synergy
80,-0.467375422322732,0.0036996736905050335,0.05670858663330358,9.887716166746033e-06,Strong Synergy
39,-0.6737006908586275,0.003650977660627205,-0.13156716420245382,6.781643993664521e-05,Strong Synergy
39,0.0310876813806729,0.003660859604395401,0.510976752583888,0.0009551170376236237,Strong Synergy
39,0.0334598313708321,0.0035333016901339504,0.504120890485032,0.0008997476471643743,Strong Synergy
39,0.0611755366879087,0.0035332078809580322,0.5289445760386233,0.0009911188848695477,Strong Synergy
46,-1.5855120459010643,0.0037379344660048138,-0.9733459380766564,0.00359303467902967,Strong Synergy
