excluded,k,estimate,se,ci_lower,ci_upper,p_value,I2,comparison
72,277,-0.5236834086403234,0.0664472462483808,-0.6539200112871497,-0.393446805993497,3.3306690738754696e-15,98.40804893317942,Strong Synergy
72,277,-0.5206554489796676,0.0662762940150746,-0.6505569852492139,-0.39075391271012144,3.9968028886505635e-15,98.4005114480819,Strong Synergy
72,277,-0.5172266530290124,0.06609080944075717,-0.6467646395328964,-0.38768866652512834,5.10702591327572e-15,98.39211772329752,Strong Synergy
72,277,-0.5300495926673814,0.06654403407489766,-0.6604758994541808,-0.39962328588058194,1.5543122344752192e-15,98.41334134440294,Strong Synergy
74,277,-0.5324644087070793,0.06646685826307046,-0.6627394509026974,-0.40218936651146125,1.1102230246251565e-15,98.40334845627783,Strong Synergy
74,277,-0.5305133641739526,0.06661921084236977,-0.6610870174249973,-0.3999397109229078,1.7763568394002505e-15,98.41088361124268,Strong Synergy
74,277,-0.5313769492024206,0.06656259405331434,-0.6618396335469168,-0.40091426485792453,1.3322676295501878e-15,98.4080187254255,Strong Synergy
84,277,-0.5276859558322783,0.06646232179992184,-0.657952106560125,-0.3974198051044315,1.9984014443252818e-15,98.4141564850527,Strong Synergy
43,277,-0.530546407497101,0.06653290710591567,-0.6609509054246957,-0.40014190956950635,1.5543122344752192e-15,98.41283331079872,Strong Synergy
43,277,-0.5298917130676684,0.06654524703545248,-0.6603203972571552,-0.3994630288781815,1.7763568394002505e-15,98.41349642168298,Strong Synergy
43,277,-0.5320721256954226,0.06648562452743262,-0.6623839497691906,-0.40176030162165466,1.1102230246251565e-15,98.4104838728261,Strong Synergy
43,277,-0.5304848194712865,0.06653428227511379,-0.6608920127305095,-0.40007762621206344,1.5543122344752192e-15,98.41290506808184,Strong Synergy
43,277,-0.5291389039676165,0.0665531449213242,-0.659583068013412,-0.3986947399218211,1.7763568394002505e-15,98.41398184925892,Strong Synergy
43,277,-0.5328074457042273,0.0664549448247737,-0.6630591375607837,-0.4025557538476709,1.1102230246251565e-15,98.4090148842491,Strong Synergy
43,277,-0.5305978286521934,0.06653172535067313,-0.6610000103395127,-0.4001956469648741,1.5543122344752192e-15,98.41277193433216,Strong Synergy
43,277,-0.5286543227322082,0.06655470777812118,-0.6591015499773257,-0.39820709548709077,1.9984014443252818e-15,98.41413783971993,Strong Synergy
43,277,-0.5339536329329709,0.0663998535091955,-0.6640973458109941,-0.40380992005494776,8.881784197001252e-16,98.40642470214115,Strong Synergy
43,277,-0.5303198835776282,0.06653774756056935,-0.6607338687963441,-0.3999058983589122,1.5543122344752192e-15,98.41308774244204,Strong Synergy
43,277,-0.5289874975620027,0.06655392460361663,-0.6594331897850912,-0.39854180533891415,1.9984014443252818e-15,98.41404359525735,Strong Synergy
43,277,-0.5329856508391444,0.06644688968075144,-0.6632215546134173,-0.40274974706487154,1.1102230246251565e-15,98.40863297092794,Strong Synergy
43,277,-0.5302244534053919,0.06653960690575982,-0.6606420829406812,-0.3998068238701027,1.5543122344752192e-15,98.41318706759131,Strong Synergy
43,277,-0.5288982825320132,0.06655425924830406,-0.6593446306586892,-0.3984519344053372,1.9984014443252818e-15,98.41407441520404,Strong Synergy
43,277,-0.5329804825926345,0.0664471263402771,-0.6632168502195777,-0.4027441149656914,1.1102230246251565e-15,98.40864417302352,Strong Synergy
1,277,-0.5227387431510587,0.06637677627499446,-0.6528372246500479,-0.39264026165206956,3.3306690738754696e-15,98.40369463239622,Strong Synergy
1,277,-0.5219817784592378,0.06632048830352938,-0.6519699355341554,-0.39199362138432015,3.552713678800501e-15,98.40110859788157,Strong Synergy
